provider,engine,sampler,n_for_train,seed,dataset,accuracy,precision,recall,f1
mistral,mistral-small-latest,random,8,42,data/USPTO_R_text.csv,0.58,0.5692307692307692,0.7254901960784313,0.6379310344827587
mistral,mistral-small-latest,random,8,84,data/USPTO_R_text.csv,0.59,0.5925925925925926,0.6274509803921569,0.6095238095238096
mistral,mistral-small-latest,random,8,200,data/USPTO_R_text.csv,0.53,0.527027027027027,0.7647058823529411,0.624
openai,gpt-3.5-turbo,random,2,36,data/USPTO_R_text.csv,0.51,0.51,1.0,0.6754966887417219
openai,gpt-3.5-turbo,random,2,42,data/USPTO_R_text.csv,0.51,0.51,1.0,0.6754966887417219
openai,gpt-3.5-turbo,random,2,84,data/USPTO_R_text.csv,0.51,0.51,1.0,0.6754966887417219
openai,gpt-3.5-turbo,random,2,200,data/USPTO_R_text.csv,0.51,0.51,1.0,0.6754966887417219
openai,gpt-3.5-turbo,random,2,12345,data/USPTO_R_text.csv,0.51,0.51,1.0,0.6754966887417219
openai,gpt-3.5-turbo,random,4,36,data/USPTO_R_text.csv,0.59,0.8125,0.2549019607843137,0.3880597014925373
openai,gpt-3.5-turbo,random,4,42,data/USPTO_R_text.csv,0.54,0.5806451612903226,0.3529411764705882,0.4390243902439024
openai,gpt-3.5-turbo,random,4,84,data/USPTO_R_text.csv,0.53,0.6428571428571429,0.1764705882352941,0.2769230769230769
openai,gpt-3.5-turbo,random,4,200,data/USPTO_R_text.csv,0.55,0.5882352941176471,0.392156862745098,0.4705882352941176
openai,gpt-3.5-turbo,random,4,12345,data/USPTO_R_text.csv,0.5,0.5172413793103449,0.2941176470588235,0.375
openai,gpt-4,random,2,36,data/USPTO_R_text.csv,0.51,0.5102040816326531,0.9803921568627452,0.6711409395973155
openai,gpt-4,random,2,42,data/USPTO_R_text.csv,0.51,0.51,1.0,0.6754966887417219
openai,gpt-4,random,2,84,data/USPTO_R_text.csv,0.51,0.5102040816326531,0.9803921568627452,0.6711409395973155
openai,gpt-4,random,2,200,data/USPTO_R_text.csv,0.5,0.5050505050505051,0.9803921568627452,0.6666666666666666
openai,gpt-4,random,2,12345,data/USPTO_R_text.csv,0.5,0.5050505050505051,0.9803921568627452,0.6666666666666666
